,id_sampl,Survey,strata,psu,DTM.Round,Place.ID,Governorate,District,Location.Name,Arabic.Name,Latitude,Longitude,pop,COD_Subdistrict,COD_Governorate,SumDist,proba,survey_buffer
164,id_1914,6,Kirkuk,2603027,109,23899,Kirkuk,Kirkuk,Hay Al-Zawraa,حي الزوراء,35.38997775,44.390604,490,Markaz Kirkuk,Kirkuk,13581,0.036079817,7
165,id_1915,6,Kirkuk,2603028,109,24142,Kirkuk,Kirkuk,Hay Arafah 201,عرفة,35.48877307,44.37291987,29,Markaz Kirkuk,Kirkuk,13581,0.002135336,7
166,id_1920,12,Kirkuk,2603038,109,14530,Kirkuk,Kirkuk,Panja Ali,بنجه علي,35.43692001,44.42867998,572,Markaz Kirkuk,Kirkuk,13581,0.042117664,13
167,id_1922,6,Kirkuk,2603041,109,22495,Kirkuk,Kirkuk,Qaryat Tobzawa,قرية طوبزاوة,35.39584843,44.27503949,140,Yaijy,Kirkuk,13581,0.010308519,7
168,id_1926,6,Kirkuk,2603046,109,24806,Kirkuk,Kirkuk,Sary Kahya,حي صاري كهيه,35.46629183,44.37716979,202,Markaz Kirkuk,Kirkuk,13581,0.014873721,7
169,id_194,6,Erbil,1202032,109,13668,Erbil,Erbil,Hay Askary,حي عسكري,36.16385827,43.97527384,1150,Markaz Erbil,Erbil,26281,0.043757848,7
170,id_1941,6,Kirkuk,2603069,109,31729,Kirkuk,Kirkuk,Hay Al-Askary 2,حي العسكري 2,35.4061092,44.41417397,430,Markaz Kirkuk,Kirkuk,13581,0.031661881,7
171,id_1942,5,Dibis,2604001,109,14375,Kirkuk,Dabes,Altun Kupri Center,مركز ناحية التون كوبري,35.75626625,44.13984071,26,Altun Qupri,Kirkuk,351,0.074074074,6
172,id_1943,7,Dibis,2604005,109,24632,Kirkuk,Dabes,Hay Al Muaasker,حي المعسكر,35.66729671,44.07563072,40,Markaz Dibis,Kirkuk,351,0.113960114,8
173,id_1944,15,Dibis,2604006,109,24631,Kirkuk,Dabes,Hay Al Tanak,حي التنك,35.6605481,44.08948782,78,Markaz Dibis,Kirkuk,351,0.222222222,16
